uid,area,outages,dt_stamp
215502023-11-27T03:00:35,21550,1,11/27/2023 03:00:35 AM
207832023-11-27T03:15:34,20783,4,11/27/2023 03:15:34 AM
210122023-11-27T03:15:34,21012,9,11/27/2023 03:15:34 AM
211312023-11-27T03:15:34,21131,4,11/27/2023 03:15:34 AM
212082023-11-27T03:15:34,21208,4,11/27/2023 03:15:34 AM
212132023-11-27T03:15:34,21213,4,11/27/2023 03:15:34 AM
212182023-11-27T03:15:34,21218,4,11/27/2023 03:15:34 AM
212262023-11-27T03:15:34,21226,4,11/27/2023 03:15:34 AM
214032023-11-27T03:15:34,21403,4,11/27/2023 03:15:34 AM
215502023-11-27T03:15:34,21550,6,11/27/2023 03:15:34 AM
207832023-11-27T03:30:35,20783,4,11/27/2023 03:30:35 AM
210122023-11-27T03:30:35,21012,9,11/27/2023 03:30:35 AM
211312023-11-27T03:30:35,21131,4,11/27/2023 03:30:35 AM
207052023-11-28T23:00:37,20705,4,11/28/2023 11:00:37 PM
207072023-11-28T23:00:37,20707,4,11/28/2023 11:00:37 PM
207552023-11-28T23:00:37,20755,4,11/28/2023 11:00:37 PM
207642023-11-28T23:00:37,20764,4,11/28/2023 11:00:37 PM
208502023-11-28T23:00:37,20850,13,11/28/2023 11:00:37 PM
208522023-11-28T23:00:37,20852,4,11/28/2023 11:00:37 PM
208742023-11-28T23:00:37,20874,4,11/28/2023 11:00:37 PM
209062023-11-28T23:00:37,20906,4,11/28/2023 11:00:37 PM
210462023-11-28T23:00:37,21046,4,11/28/2023 11:00:37 PM
210612023-11-28T23:00:37,21061,4,11/28/2023 11:00:37 PM
210852023-11-28T23:00:37,21085,4,11/28/2023 11:00:37 PM
211172023-11-28T23:00:37,21117,4,11/28/2023 11:00:37 PM
211222023-11-28T23:00:37,21122,4,11/28/2023 11:00:37 PM
211322023-11-28T23:00:37,21132,4,11/28/2023 11:00:37 PM
211572023-11-28T23:00:37,21157,4,11/28/2023 11:00:37 PM
212042023-11-28T23:00:37,21204,28,11/28/2023 11:00:37 PM
212082023-11-28T23:00:37,21208,4,11/28/2023 11:00:37 PM
212122023-11-28T23:00:37,21212,4,11/28/2023 11:00:37 PM
212162023-11-28T23:00:37,21216,59,11/28/2023 11:00:37 PM
212222023-11-28T23:00:37,21222,4,11/28/2023 11:00:37 PM
212242023-11-28T23:00:37,21224,4,11/28/2023 11:00:37 PM
212292023-11-28T23:00:37,21229,55,11/28/2023 11:00:37 PM
211442023-11-15T18:15:37,21144,4,11/15/2023 06:15:37 PM
212212023-11-15T18:15:37,21221,4,11/15/2023 06:15:37 PM
207322023-11-17T13:45:36,20732,4,11/17/2023 01:45:36 PM
207702023-11-17T13:45:36,20770,4,11/17/2023 01:45:36 PM
212222023-11-15T18:15:37,21222,4,11/15/2023 06:15:37 PM
212242023-11-15T18:15:37,21224,4,11/15/2023 06:15:37 PM
214012023-11-15T18:15:37,21401,4,11/15/2023 06:15:37 PM
214032023-11-15T18:15:37,21403,4,11/15/2023 06:15:37 PM
216172023-11-15T18:15:37,21617,6,11/15/2023 06:15:37 PM
207082023-11-15T18:30:35,20708,4,11/15/2023 06:30:35 PM
207372023-11-15T18:30:35,20737,4,11/15/2023 06:30:35 PM
207442023-11-15T18:30:35,20744,4,11/15/2023 06:30:35 PM
207702023-11-15T18:30:35,20770,4,11/15/2023 06:30:35 PM
210482023-11-15T18:30:35,21048,4,11/15/2023 06:30:35 PM
210752023-11-15T18:30:35,21075,4,11/15/2023 06:30:35 PM
211442023-11-15T18:30:35,21144,4,11/15/2023 06:30:35 PM
207722023-11-17T13:45:36,20772,4,11/17/2023 01:45:36 PM
208182023-11-17T13:45:36,20818,4,11/17/2023 01:45:36 PM
208742023-11-17T13:45:36,20874,4,11/17/2023 01:45:36 PM
208782023-11-17T13:45:36,20878,4,11/17/2023 01:45:36 PM
209012023-11-17T13:45:36,20901,4,11/17/2023 01:45:36 PM
209032023-11-17T13:45:36,20903,4,11/17/2023 01:45:36 PM
211222023-11-17T13:45:36,21122,4,11/17/2023 01:45:36 PM
211362023-11-17T13:45:36,21136,4,11/17/2023 01:45:36 PM
212292023-12-04T14:45:35,21229,4,12/04/2023 02:45:35 PM
212012023-11-15T18:30:35,21201,4,11/15/2023 06:30:35 PM
212212023-11-15T18:30:35,21221,4,11/15/2023 06:30:35 PM
212222023-11-15T18:30:35,21222,4,11/15/2023 06:30:35 PM
212242023-11-15T18:30:35,21224,4,11/15/2023 06:30:35 PM
211632023-11-17T13:45:36,21163,11,11/17/2023 01:45:36 PM
212062023-11-17T13:45:36,21206,4,11/17/2023 01:45:36 PM
212112023-11-17T13:45:36,21211,4,11/17/2023 01:45:36 PM
212122023-11-17T13:45:36,21212,4,11/17/2023 01:45:36 PM
212142023-11-17T13:45:36,21214,4,11/17/2023 01:45:36 PM
212222023-11-17T13:45:36,21222,4,11/17/2023 01:45:36 PM
212242023-11-17T13:45:36,21224,4,11/17/2023 01:45:36 PM
212272023-11-17T13:45:36,21227,4,11/17/2023 01:45:36 PM
212302023-11-17T13:45:36,21230,4,11/17/2023 01:45:36 PM
212362023-11-17T13:45:36,21236,4,11/17/2023 01:45:36 PM
206362023-11-20T08:15:35,20636,2,11/20/2023 08:15:35 AM
207102023-11-20T08:15:35,20710,101,11/20/2023 08:15:35 AM
207242023-11-20T08:15:35,20724,5,11/20/2023 08:15:35 AM
207442023-11-20T08:15:35,20744,4,11/20/2023 08:15:35 AM
208382023-11-20T08:15:35,20838,1,11/20/2023 08:15:35 AM
208532023-11-20T08:15:35,20853,12,11/20/2023 08:15:35 AM
208782023-11-20T08:15:35,20878,4,11/20/2023 08:15:35 AM
212082023-11-27T03:30:35,21208,4,11/27/2023 03:30:35 AM
212132023-11-27T03:30:35,21213,4,11/27/2023 03:30:35 AM
212182023-11-27T03:30:35,21218,4,11/27/2023 03:30:35 AM
212262023-11-27T03:30:35,21226,4,11/27/2023 03:30:35 AM
214032023-11-27T03:30:35,21403,4,11/27/2023 03:30:35 AM
209022023-11-20T08:15:35,20902,14,11/20/2023 08:15:35 AM
210012023-11-20T08:15:35,21001,4,11/20/2023 08:15:35 AM
210422023-11-20T08:15:35,21042,4,11/20/2023 08:15:35 AM
210612023-11-20T08:15:35,21061,5,11/20/2023 08:15:35 AM
211222023-11-20T08:15:35,21122,8,11/20/2023 08:15:35 AM
211332023-11-20T08:15:35,21133,7,11/20/2023 08:15:35 AM
211582023-11-20T08:15:35,21158,4,11/20/2023 08:15:35 AM
212072023-11-20T08:15:35,21207,4,11/20/2023 08:15:35 AM
212162023-11-20T08:15:35,21216,17,11/20/2023 08:15:35 AM
212212023-11-20T08:15:35,21221,4,11/20/2023 08:15:35 AM
212302023-11-20T08:15:35,21230,4,11/20/2023 08:15:35 AM
212862023-11-20T08:15:35,21286,4,11/20/2023 08:15:35 AM
216292023-11-20T08:15:35,21629,1,11/20/2023 08:15:35 AM
216542023-11-20T08:15:35,21654,28,11/20/2023 08:15:35 AM
217692023-11-20T08:15:35,21769,8,11/20/2023 08:15:35 AM
217932023-11-20T08:15:35,21793,9,11/20/2023 08:15:35 AM
218012023-11-20T08:15:35,21801,55,11/20/2023 08:15:35 AM
218562023-11-20T08:15:35,21856,7,11/20/2023 08:15:35 AM
219122023-11-20T08:15:35,21912,1,11/20/2023 08:15:35 AM
206192023-11-20T08:30:35,20619,7,11/20/2023 08:30:35 AM
206362023-11-20T08:30:35,20636,2,11/20/2023 08:30:35 AM
206592023-11-20T08:30:35,20659,2,11/20/2023 08:30:35 AM
207102023-11-20T08:30:35,20710,101,11/20/2023 08:30:35 AM
207242023-11-20T08:30:35,20724,5,11/20/2023 08:30:35 AM
207442023-11-20T08:30:35,20744,4,11/20/2023 08:30:35 AM
215502023-11-27T03:30:35,21550,17,11/27/2023 03:30:35 AM
206162023-11-28T14:45:34,20616,6,11/28/2023 02:45:34 PM
206572023-11-28T14:45:34,20657,4,11/28/2023 02:45:34 PM
206592023-11-28T14:45:34,20659,4,11/28/2023 02:45:34 PM
206622023-11-28T14:45:34,20662,55,11/28/2023 02:45:34 PM
207352023-11-28T14:45:34,20735,10,11/28/2023 02:45:34 PM
207452023-11-28T14:45:34,20745,4,11/28/2023 02:45:34 PM
207722023-11-28T14:45:34,20772,4,11/28/2023 02:45:34 PM
207942023-11-28T14:45:34,20794,4,11/28/2023 02:45:34 PM
208502023-11-28T14:45:34,20850,4,11/28/2023 02:45:34 PM
208512023-11-28T14:45:34,20851,4,11/28/2023 02:45:34 PM
208862023-11-28T14:45:34,20886,4,11/28/2023 02:45:34 PM
209062023-11-28T14:45:34,20906,4,11/28/2023 02:45:34 PM
210342023-11-28T14:45:34,21034,9,11/28/2023 02:45:34 PM
210752023-11-28T14:45:34,21075,4,11/28/2023 02:45:34 PM
208532023-11-20T08:30:35,20853,12,11/20/2023 08:30:35 AM
208742023-11-20T08:30:35,20874,1,11/20/2023 08:30:35 AM
210782023-11-28T14:45:34,21078,9,11/28/2023 02:45:34 PM
211172023-11-28T14:45:34,21117,4,11/28/2023 02:45:34 PM
211222023-11-28T14:45:34,21122,4,11/28/2023 02:45:34 PM
214012023-12-04T14:45:35,21401,4,12/04/2023 02:45:35 PM
218012023-12-04T14:45:35,21801,1,12/04/2023 02:45:35 PM
206012023-12-04T15:00:38,20601,3,12/04/2023 03:00:38 PM
206592023-12-04T15:00:38,20659,4,12/04/2023 03:00:38 PM
210452023-11-14T04:30:35,21045,4,11/14/2023 04:30:35 AM
211022023-11-14T04:30:35,21102,4,11/14/2023 04:30:35 AM
211172023-11-14T04:30:35,21117,16,11/14/2023 04:30:35 AM
212162023-11-14T04:30:35,21216,4,11/14/2023 04:30:35 AM
212242023-11-14T04:30:35,21224,4,11/14/2023 04:30:35 AM
210452023-11-14T04:45:35,21045,4,11/14/2023 04:45:35 AM
211022023-11-14T04:45:35,21102,4,11/14/2023 04:45:35 AM
211172023-11-14T04:45:35,21117,16,11/14/2023 04:45:35 AM
212162023-11-14T04:45:35,21216,4,11/14/2023 04:45:35 AM
212242023-11-14T04:45:35,21224,4,11/14/2023 04:45:35 AM
210452023-11-14T05:00:36,21045,4,11/14/2023 05:00:36 AM
211022023-11-14T05:00:36,21102,4,11/14/2023 05:00:36 AM
211172023-11-14T05:00:36,21117,16,11/14/2023 05:00:36 AM
212162023-11-14T05:00:36,21216,4,11/14/2023 05:00:36 AM
212242023-11-14T05:00:36,21224,4,11/14/2023 05:00:36 AM
206642023-11-14T05:15:35,20664,2,11/14/2023 05:15:35 AM
210452023-11-14T05:15:35,21045,4,11/14/2023 05:15:35 AM
211022023-11-14T05:15:35,21102,4,11/14/2023 05:15:35 AM
211172023-11-14T05:15:35,21117,16,11/14/2023 05:15:35 AM
212162023-11-14T05:15:35,21216,4,11/14/2023 05:15:35 AM
212242023-11-14T05:15:35,21224,4,11/14/2023 05:15:35 AM
206642023-11-14T05:30:35,20664,2,11/14/2023 05:30:35 AM
210452023-11-14T05:30:35,21045,4,11/14/2023 05:30:35 AM
211022023-11-14T05:30:35,21102,4,11/14/2023 05:30:35 AM
211172023-11-14T05:30:35,21117,16,11/14/2023 05:30:35 AM
212162023-11-14T05:30:35,21216,4,11/14/2023 05:30:35 AM
212242023-11-14T05:30:35,21224,4,11/14/2023 05:30:35 AM
206642023-11-14T05:45:35,20664,2,11/14/2023 05:45:35 AM
210452023-11-14T05:45:35,21045,4,11/14/2023 05:45:35 AM
211172023-11-14T05:45:35,21117,16,11/14/2023 05:45:35 AM
212162023-11-14T05:45:35,21216,4,11/14/2023 05:45:35 AM
212242023-11-14T05:45:35,21224,4,11/14/2023 05:45:35 AM
206642023-11-14T06:00:37,20664,2,11/14/2023 06:00:37 AM
212162023-11-14T06:00:37,21216,4,11/14/2023 06:00:37 AM
212242023-11-14T06:00:37,21224,4,11/14/2023 06:00:37 AM
206642023-11-14T06:15:35,20664,2,11/14/2023 06:15:35 AM
212162023-11-14T06:15:35,21216,4,11/14/2023 06:15:35 AM
212242023-11-14T06:15:35,21224,4,11/14/2023 06:15:35 AM
206642023-11-14T06:30:36,20664,2,11/14/2023 06:30:36 AM
212162023-11-14T06:30:36,21216,4,11/14/2023 06:30:36 AM
212242023-11-14T06:30:36,21224,4,11/14/2023 06:30:36 AM
206642023-11-14T06:45:36,20664,2,11/14/2023 06:45:36 AM
212162023-11-14T06:45:36,21216,4,11/14/2023 06:45:36 AM
212242023-11-14T06:45:36,21224,4,11/14/2023 06:45:36 AM
214012023-11-15T18:30:35,21401,4,11/15/2023 06:30:35 PM
216322023-11-17T13:45:36,21632,4,11/17/2023 01:45:36 PM
216552023-11-17T13:45:36,21655,4,11/17/2023 01:45:36 PM
217692023-11-17T13:45:36,21769,1,11/17/2023 01:45:36 PM
218012023-11-17T13:45:36,21801,5,11/17/2023 01:45:36 PM
218632023-11-17T13:45:36,21863,1,11/17/2023 01:45:36 PM
207832023-11-27T03:45:34,20783,4,11/27/2023 03:45:34 AM
210122023-11-27T03:45:34,21012,9,11/27/2023 03:45:34 AM
211312023-11-27T03:45:34,21131,4,11/27/2023 03:45:34 AM
212082023-11-27T03:45:34,21208,4,11/27/2023 03:45:34 AM
212132023-11-27T03:45:34,21213,4,11/27/2023 03:45:34 AM
216172023-11-15T18:30:35,21617,6,11/15/2023 06:30:35 PM
207052023-11-15T18:45:34,20705,4,11/15/2023 06:45:34 PM
207082023-11-15T18:45:34,20708,4,11/15/2023 06:45:34 PM
207372023-11-15T18:45:34,20737,4,11/15/2023 06:45:34 PM
207442023-11-15T18:45:34,20744,4,11/15/2023 06:45:34 PM
207702023-11-15T18:45:34,20770,4,11/15/2023 06:45:34 PM
210752023-11-15T18:45:34,21075,4,11/15/2023 06:45:34 PM
211172023-11-15T18:45:34,21117,4,11/15/2023 06:45:34 PM
212012023-11-15T18:45:34,21201,4,11/15/2023 06:45:34 PM
212212023-11-15T18:45:34,21221,4,11/15/2023 06:45:34 PM
212242023-11-15T18:45:34,21224,4,11/15/2023 06:45:34 PM
214012023-11-15T18:45:34,21401,4,11/15/2023 06:45:34 PM
218042023-11-15T18:45:34,21804,4,11/15/2023 06:45:34 PM
206012023-11-16T14:15:35,20601,1,11/16/2023 02:15:35 PM
210012023-11-19T01:00:36,21001,4,11/19/2023 01:00:36 AM
211572023-11-19T01:00:36,21157,4,11/19/2023 01:00:36 AM
212342023-11-19T01:00:36,21234,4,11/19/2023 01:00:36 AM
210012023-11-19T01:15:36,21001,4,11/19/2023 01:15:36 AM
206622023-12-04T15:00:38,20662,1,12/04/2023 03:00:38 PM
207112023-12-04T15:00:38,20711,4,12/04/2023 03:00:38 PM
207212023-12-04T15:00:38,20721,4,12/04/2023 03:00:38 PM
207722023-12-04T15:00:38,20772,6,12/04/2023 03:00:38 PM
207742023-12-04T15:00:38,20774,18,12/04/2023 03:00:38 PM
208322023-12-04T15:00:38,20832,31,12/04/2023 03:00:38 PM
208502023-12-04T15:00:38,20850,4,12/04/2023 03:00:38 PM
207052023-11-15T19:00:37,20705,4,11/15/2023 07:00:37 PM
207082023-11-15T19:00:37,20708,4,11/15/2023 07:00:37 PM
207372023-11-15T19:00:37,20737,4,11/15/2023 07:00:37 PM
207702023-11-15T19:00:37,20770,4,11/15/2023 07:00:37 PM
211172023-11-15T19:00:37,21117,4,11/15/2023 07:00:37 PM
212012023-11-15T19:00:37,21201,4,11/15/2023 07:00:37 PM
212212023-11-15T19:00:37,21221,4,11/15/2023 07:00:37 PM
207082023-11-17T14:00:38,20708,45,11/17/2023 02:00:38 PM
207322023-11-17T14:00:38,20732,4,11/17/2023 02:00:38 PM
207702023-11-17T14:00:38,20770,4,11/17/2023 02:00:38 PM
208182023-11-17T14:00:38,20818,4,11/17/2023 02:00:38 PM
208782023-11-20T08:30:35,20878,4,11/20/2023 08:30:35 AM
209022023-11-20T08:30:35,20902,14,11/20/2023 08:30:35 AM
210012023-11-20T08:30:35,21001,4,11/20/2023 08:30:35 AM
210422023-11-20T08:30:35,21042,4,11/20/2023 08:30:35 AM
210612023-11-20T08:30:35,21061,5,11/20/2023 08:30:35 AM
210822023-11-20T08:30:35,21082,4,11/20/2023 08:30:35 AM
211222023-11-20T08:30:35,21122,8,11/20/2023 08:30:35 AM
212182023-11-27T03:45:34,21218,4,11/27/2023 03:45:34 AM
212262023-11-27T03:45:34,21226,4,11/27/2023 03:45:34 AM
214032023-11-27T03:45:34,21403,4,11/27/2023 03:45:34 AM
215502023-11-27T03:45:34,21550,17,11/27/2023 03:45:34 AM
211582023-11-20T08:30:35,21158,4,11/20/2023 08:30:35 AM
212072023-11-20T08:30:35,21207,4,11/20/2023 08:30:35 AM
207372023-11-21T13:45:36,20737,4,11/21/2023 01:45:36 PM
207482023-11-21T13:45:36,20748,4,11/21/2023 01:45:36 PM
207702023-11-21T13:45:36,20770,8,11/21/2023 01:45:36 PM
207842023-11-21T13:45:36,20784,4,11/21/2023 01:45:36 PM
208122023-11-21T13:45:36,20812,17,11/21/2023 01:45:36 PM
208142023-11-21T13:45:36,20814,2,11/21/2023 01:45:36 PM
208162023-11-21T13:45:36,20816,168,11/21/2023 01:45:36 PM
208502023-11-21T13:45:36,20850,4,11/21/2023 01:45:36 PM
208822023-11-21T13:45:36,20882,4,11/21/2023 01:45:36 PM
208892023-11-21T13:45:36,20889,1,11/21/2023 01:45:36 PM
208922023-11-21T13:45:36,20892,1,11/21/2023 01:45:36 PM
209042023-11-21T13:45:36,20904,4,11/21/2023 01:45:36 PM
210122023-11-21T13:45:36,21012,4,11/21/2023 01:45:36 PM
210432023-11-21T13:45:36,21043,4,11/21/2023 01:45:36 PM
210752023-11-21T13:45:36,21075,4,11/21/2023 01:45:36 PM
210902023-11-21T13:45:36,21090,4,11/21/2023 01:45:36 PM
210932023-11-21T13:45:36,21093,4,11/21/2023 01:45:36 PM
211312023-11-21T13:45:36,21131,67,11/21/2023 01:45:36 PM
211332023-11-21T13:45:36,21133,4,11/21/2023 01:45:36 PM
212082023-11-28T14:45:34,21208,55,11/28/2023 02:45:34 PM
208862023-12-04T15:00:38,20886,4,12/04/2023 03:00:38 PM
210142023-12-04T15:00:38,21014,4,12/04/2023 03:00:38 PM
210302023-12-04T15:00:38,21030,4,12/04/2023 03:00:38 PM
210852023-12-04T15:00:38,21085,4,12/04/2023 03:00:38 PM
210932023-12-04T15:00:38,21093,4,12/04/2023 03:00:38 PM
211142023-12-04T15:00:38,21114,4,12/04/2023 03:00:38 PM
211172023-12-04T15:00:38,21117,4,12/04/2023 03:00:38 PM
211222023-12-04T15:00:38,21122,4,12/04/2023 03:00:38 PM
212062023-12-04T15:00:38,21206,4,12/04/2023 03:00:38 PM
212072023-12-04T15:00:38,21207,4,12/04/2023 03:00:38 PM
212112023-12-04T15:00:38,21211,4,12/04/2023 03:00:38 PM
212152023-12-04T15:00:38,21215,4,12/04/2023 03:00:38 PM
212162023-12-04T15:00:38,21216,4,12/04/2023 03:00:38 PM
212292023-12-04T15:00:38,21229,4,12/04/2023 03:00:38 PM
212342023-12-04T15:00:38,21234,4,12/04/2023 03:00:38 PM
214012023-12-04T15:00:38,21401,4,12/04/2023 03:00:38 PM
212132023-11-28T14:45:34,21213,4,11/28/2023 02:45:34 PM
212252023-11-28T14:45:34,21225,4,11/28/2023 02:45:34 PM
212262023-11-28T14:45:34,21226,4,11/28/2023 02:45:34 PM
212342023-11-28T14:45:34,21234,4,11/28/2023 02:45:34 PM
212392023-11-28T14:45:34,21239,4,11/28/2023 02:45:34 PM
212442023-11-28T14:45:34,21244,4,11/28/2023 02:45:34 PM
214032023-11-28T14:45:34,21403,4,11/28/2023 02:45:34 PM
216762023-11-28T14:45:34,21676,189,11/28/2023 02:45:34 PM
218012023-12-04T15:00:38,21801,1,12/04/2023 03:00:38 PM
206072023-12-04T16:00:37,20607,1,12/04/2023 04:00:37 PM
206122023-12-04T16:00:37,20612,2,12/04/2023 04:00:37 PM
206372023-12-04T16:00:37,20637,2,12/04/2023 04:00:37 PM
206532023-12-04T16:00:37,20653,2,12/04/2023 04:00:37 PM
206592023-12-04T16:00:37,20659,4,12/04/2023 04:00:37 PM
207112023-12-04T16:00:37,20711,4,12/04/2023 04:00:37 PM
207212023-12-04T16:00:37,20721,4,12/04/2023 04:00:37 PM
207402023-12-04T16:00:37,20740,4,12/04/2023 04:00:37 PM
206022023-11-14T07:00:36,20602,8,11/14/2023 07:00:36 AM
206032023-11-14T07:00:36,20603,2,11/14/2023 07:00:36 AM
